Q4,Q29,Q70_1,Q71_1,Q68_1,Q67_1,Q72_1,Q73_1,Q74_1,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,Q82_1,Q83_1,Q84_1,Q85_1,Q86_1,Q87_1,FL_5_DO
5fb9409de225257587072ef9,1,2,3,7,1,7,5,1,2,5,6,1,1,5,1,1,1,3,2,2,2,15|18|7|8|14|19|9|16|13|2|20|17|1|5|3|6|11|10|4|12
5c058216bbe1c80001c73e62,1,2,3,4,2,2,2,2,2,1,2,2,2,1,1,2,2,2,5,5,2,16|13|9|2|8|11|12|10|19|18|5|1|7|6|4|17|15|3|14|20
5dd51997f01cbe4be00768b1,1,2,2,2,2,2,2,3,1,1,2,3,1,3,1,1,1,3,2,1,1,19|1|13|2|17|16|12|6|10|20|15|11|9|7|14|3|4|8|18|5
5fb43758378ad10ca1b7afb2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,10|1|9|19|12|3|7|17|14|2|18|20|15|11|13|6|16|4|5|8
5f5146d7f21c6b36727ba867,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1,2,2,1,1,1,1,9|8|3|15|11|2|13|19|18|12|10|4|5|14|1|6|16|17|7|20
5f84dc8091ef6b1a71d45d30,1,1,3,3,1,3,5,2,5,2,1,2,1,2,1,2,1,1,1,2,1,13|1|17|12|10|4|18|16|19|14|7|11|5|6|2|20|8|15|3|9
59188524cad3b200017174d1,1,2,7,6,3,4,6,6,5,6,2,3,2,1,2,3,2,3,3,3,3,10|1|16|2|17|5|11|9|13|6|8|14|19|4|3|18|12|20|15|7
5c6c2b8096e5aa000163e010,1,2,5,5,5,3,5,5,2,2,1,4,2,5,2,5,2,1,7,5,6,4|10|12|16|14|17|15|18|3|9|1|11|7|19|20|2|8|5|6|13
57d5d0bf995a0b00016349d5,1,1,4,2,4,1,1,1,3,1,2,1,2,1,1,1,1,1,4,1,2,1|7|17|14|19|20|12|2|9|8|18|3|15|5|10|11|13|4|6|16
5f119f581eb0f10249f1576a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2|12|16|9|4|1|10|13|20|11|14|17|7|18|15|6|19|5|8|3
5e9f4b15daa0ba0ac0d460ea,1,3,2,6,2,7,3,3,4,6,6,1,1,2,5,3,3,6,3,4,5,6|8|11|4|10|7|5|16|17|18|2|9|15|3|1|20|19|14|13|12
5ea415e443361c3b9e111fcc,1,1,4,2,4,2,4,2,2,2,4,3,3,5,4,3,2,3,2,2,4,17|18|3|6|19|13|10|20|15|5|14|11|12|8|4|7|1|2|16|9
5a217846c3e60a0001780c70,1,1,2,3,3,3,5,1,5,1,1,1,1,1,1,2,2,1,1,1,1,12|7|10|19|4|3|18|6|17|20|2|15|9|1|5|8|16|14|13|11
5edea5aac97eaa13b4887c04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13|11|10|16|18|3|5|12|15|2|19|4|17|8|1|6|20|14|9|7
5d056e505d304d0019aa33b9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11|16|7|19|18|5|14|20|17|8|6|2|4|1|3|13|12|15|10|9
5e40521a80c358296fc1dbc5,1,2,3,3,1,3,3,3,3,2,3,2,1,1,2,2,2,2,2,2,2,13|1|19|9|3|8|17|20|15|7|18|10|16|14|4|12|6|5|11|2
5c4a28e0b8f0e3000192feda,1,1,5,3,5,6,6,1,2,5,5,3,1,1,4,2,1,2,1,3,5,10|13|19|6|18|9|16|1|8|20|5|4|3|12|17|15|14|2|7|11
5a46d551b77a5000014a8ce9,1,5,2,3,6,5,3,1,7,7,2,5,7,6,7,3,5,5,7,5,7,3|10|2|17|15|5|7|11|12|20|19|18|4|6|8|1|16|13|14|9
5f15b22efbaf2b6b15daf53b,1,1,4,4,2,1,2,2,1,2,3,3,3,5,2,3,4,2,6,5,2,8|4|14|11|18|3|17|2|20|1|15|10|12|5|13|7|6|9|19|16
56b12c0e9f1826000cbcc76c,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,17|15|11|8|2|3|7|1|9|19|4|12|10|20|14|6|13|5|18|16
5f00e0bb0810222224aef915,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5|18|6|15|11|14|17|4|20|19|7|3|2|9|10|1|13|12|16|8
5de558e664e4b10d7d8de5cc,1,1,3,2,3,3,4,2,2,3,2,1,3,1,1,1,1,1,1,2,1,2|5|20|18|15|16|17|13|14|4|10|3|7|11|12|1|19|8|9|6
5e07e56754ff2314ec51e4c8,1,1,2,3,2,2,4,4,4,4,4,1,1,2,3,5,2,3,3,3,2,12|11|4|3|16|5|1|2|19|20|13|18|17|9|14|7|8|10|6|15
5f2db7fc9dfd7a0da3d2e4cc,1,2,3,3,2,5,3,3,3,2,1,2,3,2,3,2,1,2,2,2,2,14|5|18|10|4|11|16|8|1|19|6|3|20|2|9|12|17|15|7|13
5bc793dab0ed990001314fee,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3|11|18|8|2|19|13|15|20|5|10|6|1|16|12|4|7|14|17|9
5d0516fc1f48fb001656093f,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,8|7|14|16|6|20|9|11|1|2|4|3|12|18|10|17|19|15|5|13
5c5badb6a333b50001db9724,1,5,3,2,4,4,6,5,4,6,6,3,2,2,2,2,2,1,1,1,2,18|3|13|7|11|5|1|9|15|12|6|14|8|19|17|16|4|10|20|2
55d7566869dbc3000eb66e5e,1,2,3,1,2,3,3,4,2,2,1,3,3,3,2,4,1,3,2,2,3,2|8|4|3|18|17|1|13|15|12|20|7|11|14|5|6|16|9|19|10
5e3f1cda8d0aee000a587dbf,1,2,2,3,2,4,2,2,2,3,2,3,2,1,3,1,2,2,2,3,2,9|2|19|12|5|14|6|13|8|15|3|10|20|4|7|11|1|16|17|18
5c3d0637e0ea8200014601a4,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,2,2,1,1,15|3|9|1|18|7|19|10|2|5|16|4|6|8|17|11|14|20|12|13
5d6eb94af9bff8000141552e,1,2,6,3,2,1,1,3,5,3,4,3,4,6,2,1,1,5,6,5,4,14|2|11|15|6|19|9|5|3|10|16|7|17|13|12|20|4|1|8|18
5f0e207993f3691392254cc0,1,1,5,4,3,3,5,3,3,4,4,2,1,3,2,4,2,4,3,3,2,6|11|4|8|16|2|1|20|9|5|14|17|10|7|12|15|13|18|19|3
5f2af80cdae40947a9e5fb1a,1,2,3,2,2,4,3,2,4,3,4,2,2,3,3,3,2,2,2,3,2,12|14|6|18|16|4|19|1|20|13|15|8|5|3|11|10|17|7|9|2
5fbe4cffbab57b350be5f1b1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,16|14|4|7|20|5|15|10|8|9|13|3|6|19|12|1|11|18|2|17
5f74fe8206668a15c42cbbe2,1,1,1,5,1,1,5,1,5,1,7,5,3,1,2,5,1,5,1,1,5,7|6|10|19|15|9|12|5|8|11|18|3|1|17|20|14|4|2|16|13
5fc010d315b8cb4289a21935,1,5,3,3,4,3,1,5,7,3,5,5,6,6,2,7,3,2,5,1,3,19|17|6|5|3|20|4|10|16|18|13|15|9|7|12|1|8|14|2|11
5f40eb6227ea9304594d59a8,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,16|12|2|13|18|1|14|17|7|20|15|4|19|5|10|9|8|6|3|11
5f2d0fc7cc4750262636e4f1,1,2,7,7,6,3,6,6,6,4,7,3,2,6,6,5,6,1,2,3,5,17|5|11|4|15|9|8|14|6|12|18|19|7|2|3|1|16|13|20|10
5b255d17a7cee100011d8551,1,2,2,3,2,2,3,1,1,1,1,2,1,2,2,3,2,3,2,2,2,10|19|18|16|20|4|6|15|2|14|12|1|9|5|17|11|8|7|13|3
5e1dfb481a938a164d8eb552,1,2,6,2,4,5,1,2,5,1,2,1,1,3,2,1,1,1,5,2,1,17|12|15|11|20|8|1|16|7|4|13|9|19|10|6|3|18|5|14|2
