Q4,Q28,Q27,Q70_1,Q71_1,Q68_1,Q67_1,Q72_1,Q73_1,Q74_1,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,Q82_1,Q83_1,Q84_1,Q85_1,Q86_1,Q87_1,FL_5_DO
5fb6bff579dc330f53e02553,1,28,2,4,2,3,5,5,1,2,1,5,3,3,2,6,1,5,1,4,5,1,9|4|13|15|20|2|17|16|1|19|10|8|11|7|14|5|3|12|6|18
5c0d109e73986d0001785b39,1,32,4,2,2,1,6,3,2,5,5,3,1,1,5,2,7,1,1,1,5,4,10|20|6|17|1|19|5|12|7|3|2|16|15|8|9|11|4|18|14|13
5fb6822a6593ca03708b39bc,1,17,1,1,1,2,1,1,1,1,2,1,3,5,4,4,3,3,3,4,3,2,9|6|16|20|7|19|3|8|15|14|13|1|11|17|10|4|5|18|2|12
5ef4d1dfe8792f0d4ba8c8b7,1,16,1,5,1,1,2,2,3,3,1,4,5,3,1,1,1,1,2,2,1,2,16|2|1|3|17|14|7|4|8|19|13|9|11|20|12|15|6|18|10|5
5fba72b83109906e0316581f,1,12,1,2,2,1,3,3,1,1,2,2,1,1,2,3,5,3,3,3,3,5,12|11|4|1|13|8|17|7|3|5|18|20|9|2|19|14|16|15|10|6
5e1b8ad2eae6663b8f4a9f0d,1,20,1,1,1,1,2,1,1,2,1,2,1,2,3,3,2,2,2,1,2,2,10|1|2|5|12|9|18|3|17|8|7|13|14|16|6|15|20|4|11|19
5f76198ba661c70678e69b98,1,16,4,5,4,6,5,5,2,4,1,2,5,5,7,6,7,3,6,7,3,4,10|2|9|16|3|14|5|11|4|18|6|17|12|8|15|1|20|7|13|19
5f989d37a2ba271b269435e0,1,14,1,1,1,1,1,1,1,1,1,4,1,1,7,1,1,2,1,1,5,4,16|9|13|11|14|5|19|8|12|2|20|1|6|18|17|10|7|3|4|15
5f75cd50d19e2a28374120ff,1,17,2,2,2,2,5,2,1,5,3,1,6,6,5,1,6,6,1,6,6,5,20|11|9|5|19|15|6|7|18|1|3|14|16|10|17|13|2|4|8|12
5f75c1b95f9acd25f87aa1b6,1,15,1,5,7,1,1,3,5,1,3,6,2,1,5,5,6,6,5,2,2,5,1|18|4|8|19|7|13|12|5|10|9|3|11|17|16|20|15|6|14|2
5eb0d648e894571a0e961675,1,18,1,1,2,1,2,2,1,1,1,1,1,1,2,1,6,1,1,1,2,1,20|13|12|4|9|16|11|6|1|14|19|7|2|15|8|5|18|17|3|10
5f773ec53f4b050ccf69dc94,1,22,1,2,1,2,1,1,1,1,1,1,2,3,3,3,1,2,3,3,2,2,15|8|9|5|19|4|18|13|6|3|17|7|1|2|10|20|16|11|14|12
5f6db21c850e4922efe46ae4,1,15,2,2,2,1,1,3,1,2,1,2,1,3,2,2,2,1,1,4,2,3,19|8|15|11|3|14|4|10|6|16|18|20|2|13|7|12|5|17|1|9
5d68eb3bbf1320000180346c,1,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3|6|15|4|14|5|17|7|11|13|16|18|8|9|19|20|1|2|10|12
5f49857de3e6483d5d3c9499,1,10,2,1,3,2,2,2,4,2,3,3,3,3,3,5,4,5,4,4,4,5,13|3|17|15|9|1|4|14|18|2|10|11|8|12|19|5|20|16|6|7
5f75cfbb3e500727c8c97631,1,18,1,1,1,3,1,1,1,2,1,6,1,2,5,4,1,6,1,5,5,4,18|1|7|5|11|13|8|16|9|2|15|19|6|20|14|3|10|4|17|12
5eb9940830ab6c098bd1943d,1,9,1,2,1,1,2,3,1,4,1,2,1,1,3,3,2,5,2,2,2,1,9|14|11|19|3|20|8|6|7|18|13|15|4|12|1|10|2|5|17|16
5f50500950ebb81cfa392427,1,15,7,6,2,1,2,5,6,2,3,3,3,6,6,6,6,6,5,5,6,3,2|18|14|11|12|4|17|9|16|8|19|6|20|15|3|13|10|7|5|1
5ef8dd3c50ff3606f2dd77ca,1,11,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,5|11|4|2|1|17|20|6|16|8|13|9|14|12|18|19|10|15|7|3
5e40467eefb86e282fcc183c,1,10,2,2,1,1,3,3,3,2,2,2,4,5,5,7,6,6,5,6,6,5,3|8|15|19|20|5|7|14|4|12|16|10|17|11|9|2|1|6|18|13
5faa800c4f9d9c3bdc612415,1,10,2,2,3,2,2,2,1,2,2,2,2,2,1,2,2,4,1,2,3,3,15|6|18|14|1|8|11|13|10|3|2|5|4|12|20|9|19|16|7|17
5fbb4a593dc031c2a81c7944,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17|20|6|4|14|7|19|16|2|1|12|18|9|10|3|15|13|11|8|5
5f77909866be1b30356654c1,1,21,1,5,4,3,6,5,1,2,1,5,3,3,5,3,2,3,4,2,2,2,18|4|16|12|14|10|13|17|8|11|7|20|1|3|9|2|15|6|5|19
5cf770915fd5830001d5a1a6,1,30,2,3,2,3,1,4,2,2,2,3,1,2,5,3,5,2,3,4,2,4,11|16|2|3|14|19|5|18|1|8|9|10|15|20|4|13|6|17|12|7
5fa907e4f8c394806c1d1878,1,11,1,1,3,2,3,3,2,1,2,5,2,3,3,2,2,4,6,2,3,2,4|3|1|9|15|18|12|20|2|10|11|8|14|17|5|13|6|7|16|19
5d84d32ae404a9001acc9ab2,1,20,2,2,4,2,2,1,4,5,3,3,2,2,6,1,5,2,5,5,3,2,6|16|18|11|17|4|7|1|3|14|12|8|13|5|15|9|19|10|20|2
5f808133a08cb40b1b6c4590,1,16,1,1,3,1,1,1,1,2,1,1,1,1,2,1,6,2,5,1,3,2,14|1|13|11|5|16|7|18|4|15|20|3|2|19|6|17|12|8|10|9
582f0dd06119600001dcf932,1,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,11|2|20|9|13|10|5|19|3|12|6|16|17|15|7|18|8|1|4|14
5bb0a6f417e8ed0001bc5124,1,20,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,10|18|17|2|1|13|16|6|3|15|20|14|4|12|7|19|5|9|11|8
5fb2eb126684339a9382a572,1,25,1,2,1,2,1,3,2,1,2,2,4,2,1,5,6,4,5,5,7,2,13|12|2|20|16|5|4|18|3|11|8|9|10|17|6|15|19|7|1|14
5e9b38f401a74b0344da3058,1,20,2,3,2,1,3,3,2,1,1,2,4,5,2,5,2,2,5,5,4,6,5|16|17|9|14|20|8|4|11|3|6|12|19|7|13|2|1|10|18|15
5f79c7b6c518145ca11328c0,1,15,3,2,3,3,2,2,2,2,3,2,2,5,5,5,5,3,4,5,5,5,18|11|14|9|20|8|16|10|4|2|19|5|1|17|6|13|7|15|12|3
5cf8c9c72f5b7d00198c3d2a,1,8,3,5,4,3,2,2,3,3,2,4,2,5,5,4,5,5,5,2,4,3,17|19|15|4|8|18|13|11|6|16|9|12|10|5|2|3|7|1|20|14
597ba81afd9fe500011672e2,1,26,3,2,3,2,2,1,5,1,1,1,1,6,6,3,2,5,3,4,7,5,3|2|16|18|12|15|11|10|1|7|4|19|20|13|14|17|6|8|5|9
5e7241e8b05a3703ba0b3163,1,16,2,5,7,3,6,5,3,2,1,7,2,3,5,6,6,6,5,5,6,3,6|12|15|5|18|20|10|7|9|2|17|14|16|8|11|13|3|19|1|4
5f76fa3f500fed052d389984,1,11,1,2,4,1,2,4,1,3,5,2,3,1,3,3,2,4,1,1,1,1,10|19|18|4|13|12|11|6|5|3|15|8|7|20|17|14|9|16|2|1
5f7f47c24c29180b95cae3cb,1,22,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,3,1,1,1,7|14|5|13|18|3|1|2|6|11|20|9|16|12|8|10|17|4|15|19
5f0980c432bef8011e530e6d,1,32,3,3,2,4,3,3,3,4,3,3,2,3,5,3,5,3,4,3,2,3,11|2|5|10|19|14|16|18|6|15|4|20|8|9|12|13|7|1|3|17
5f8370c6e0804f4fb492bcdc,1,15,3,1,1,1,6,1,3,2,2,1,1,1,7,4,6,6,3,5,2,2,11|20|3|2|10|8|19|17|6|18|15|7|13|9|12|14|16|4|1|5
5f7c75be39b77308b936985a,1,18,3,3,2,2,2,2,3,2,2,2,3,2,3,4,3,2,2,2,3,3,18|6|2|19|16|9|10|4|12|20|8|13|3|1|11|5|7|17|14|15
5f9c29c0c8b2e40750e5f831,1,10,1,2,2,2,2,3,2,2,3,3,2,4,2,5,3,3,4,4,4,3,19|12|6|1|5|4|7|10|20|11|3|14|17|18|15|2|8|13|16|9
